us_since_last_measurement,us_latency1,us_latency2
10737000,1240,642
10383000,453,360
11640000,1570,713
8818000,480,390
9116000,591,470
8118000,598,432
9684000,606,531
10829000,1570,703
8951000,592,322
8686000,468,299
9669000,385,578
11701000,1610,639
11220000,1700,644
11987000,1540,656
11605000,1420,718
10888000,1660,840
8305000,495,467
8081000,476,407
9867000,567,539
10254000,1730,706
11617000,1560,668
10270000,1700,769
9923000,462,298
11884000,8730,742
11434000,2990,741
10316000,1500,766
11874000,1420,631
11775000,1740,681
9762000,600,466
8741000,463,353
9197000,480,532
11553000,1260,573
11071000,1700,667
8102000,474,428
10344000,1530,682
10450000,1410,729
11378000,1400,722
8049000,519,439
10364000,1700,741
8841000,557,467
11777000,1610,762
10987000,1410,730
8831000,539,433
8707000,632,558
8193000,588,365
10790000,1640,773
11876000,1300,701
11688000,1750,731
10948000,1680,638
11923000,1620,862
10671000,1810,941
9716000,628,336
9160000,531,403
8410000,475,384
10343000,1550,644
11278000,1630,791
10717000,1720,948
9980000,426,457
9165000,477,418
11677000,1090,690
10230000,466,339
11409000,1430,709
10752000,1730,702
8487000,585,486
10161000,1420,614
9995000,411,421
9631000,601,394
10984000,1430,719
8699000,451,476
8644000,612,490
9514000,550,553
10454000,1180,851
10176000,470,404
11393000,1620,679
8424000,665,487
8988000,511,367
9211000,608,490
11000000,1710,792
8898000,490,381
8344000,880,524
10653000,1830,692
11106000,1600,697
9470000,573,415
10156000,648,505
11299000,1630,746
9231000,465,370
9139000,685,474
10665000,1610,768
8802000,517,412
8546000,443,374
8882000,438,508
11879000,1410,619
10626000,1640,795
9788000,421,442
11973000,19200,8130
9299000,493,704
10631000,1620,829
9455000,450,436
9639000,525,368
11180000,1490,788
8761000,511,308
11848000,1370,1460
10425000,1460,816
10004000,728,454
9326000,641,541
11762000,1800,893
10669000,1700,608
11698000,1430,564
9174000,405,496
11929000,1780,834
11836000,1740,752
8354000,598,497
8022000,476,443
8204000,597,426
8859000,578,359
10083000,583,525
8355000,456,360
9015000,537,403
11560000,54500,43700
11423000,1640,687
11100000,1780,811
8970000,619,517
10679000,1320,685
10468000,1660,690
10359000,1620,701
9128000,491,402
8403000,512,321
11447000,1240,821
10655000,2180,939
9825000,513,442
11785000,1770,662
9743000,740,338
10876000,1610,868
8465000,459,371
9590000,535,394
8607000,515,363
10380000,1680,705
9223000,469,470
11224000,1320,544
8669000,545,406
9979000,498,354
11924000,1350,691
9772000,600,330
10475000,1390,825
8259000,657,485
11163000,1680,672
9563000,457,388
9168000,541,361
10242000,1210,548
10681000,1300,587
9612000,506,373
8897000,470,406
11542000,1620,929
10226000,577,420
10999000,1220,723
10719000,1240,542
11559000,1580,725
8952000,557,530
11905000,1680,758
11499000,1660,878
9790000,624,482
10949000,1660,840
10174000,495,341
9079000,478,422
11884000,1510,536
9379000,473,449
10774000,1830,677
8311000,475,403
8069000,574,492
9410000,583,480
10232000,1070,539
9448000,488,334
9913000,620,346
9877000,444,425
9973000,451,505
11962000,1700,879
11711000,1510,645
11065000,1670,860
10400000,1250,712
9824000,481,523
11529000,1630,807
10889000,1650,817
11132000,1760,816
8269000,425,438
9712000,489,368
9066000,459,337
9191000,520,386
11745000,1640,855
10313000,586,809
9833000,389,387
11271000,2530,548
9075000,558,459
11834000,1640,708
11015000,1700,888
8326000,505,463
9211000,450,342
9557000,469,366
10515000,1640,717
11501000,1590,758
10942000,1670,718
9501000,483,414
8409000,474,328
9282000,545,494
8556000,549,289
11585000,1700,715
10737000,1710,829
9310000,480,410
11775000,1620,615
9058000,589,359
8739000,507,527
9470000,455,365
9288000,421,411
11756000,1700,896
10352000,608,755
8040000,549,376
10263000,1340,706
10044000,495,382
8290000,540,424
11179000,1670,694
11464000,1690,758
11769000,1300,745
9077000,436,402
8964000,452,407
8030000,485,451
10940000,2130,660
9335000,472,309
8144000,446,385
8079000,492,345
9336000,409,285
9551000,439,472
8680000,402,343
10855000,1620,716
9613000,649,467
10893000,1660,749
8601000,583,536
11190000,1760,815
9977000,696,540
9044000,534,402
10776000,1520,698
10988000,1160,560
9254000,628,474
9392000,553,515
9513000,603,529
8030000,599,478
8716000,528,434
10290000,1460,783
9448000,539,418
11122000,1750,692
11542000,1540,863
9269000,455,424
10794000,1640,682
9809000,493,344
8342000,594,486
10095000,387,678
9842000,493,404
9951000,668,536
9160000,490,522
9951000,382,381
8750000,744,534
10102000,1610,604
11375000,1620,583
11143000,1640,726
11648000,1560,625
10067000,484,393
9670000,422,355
8340000,678,369
11845000,1750,614
9344000,590,406
11123000,1670,738
8805000,565,327
11122000,1730,651
10235000,569,459
11777000,1720,665
11734000,51800,40800
10834000,1730,798
11519000,1710,770
9297000,492,409
11678000,1770,856
9114000,678,429
9577000,709,433
8934000,641,498
11588000,1550,711
10137000,484,297
11328000,1650,745
11077000,1650,702
10354000,1570,693
8210000,493,345
11461000,1620,750
11071000,1660,723
10005000,510,403
10810000,1630,864
8326000,705,443
11208000,1560,652
11956000,1620,991
11983000,1500,673
8011000,649,390
11010000,3600,712
11045000,1730,926
9877000,818,480
8277000,644,440
9923000,617,395
10320000,600,354
9006000,584,519
11858000,1740,812
10915000,1680,834
8458000,552,336
10388000,1820,697
9299000,495,422
11245000,1670,716
9542000,711,390
11608000,1820,729
11760000,1430,797
11203000,1220,669
10215000,1450,704
10783000,1530,649
10848000,1800,639
11560000,1310,699
11695000,1640,730
11076000,1730,767
10405000,575,453
11885000,1580,687
10743000,1920,855
11402000,1170,679
11436000,1280,609
10052000,1040,401
9489000,660,528
9812000,664,391
9774000,431,368
10128000,468,347
9222000,498,399
9053000,524,344
11436000,1500,897
10510000,1560,763
8876000,666,521
9729000,589,403
9800000,572,559
9822000,490,401
11119000,1700,929
10751000,1350,731
9372000,608,306
8712000,476,373
9394000,501,455
9765000,433,349
